global_step,callback_call,rollout,wall_time_s,env_id,episode,sample_index,episode_step,reward,episode_return,terminal,timeout,termination_reason,pin_x,pin_y,pin_z,pin_qw,pin_qx,pin_qy,pin_qz,pipe_x,pipe_y,pipe_z,pipe_qw,pipe_qx,pipe_qy,pipe_qz,center_x,center_y,center_z,center_qw,center_qx,center_qy,center_qz,ee_frame_x,ee_frame_y,ee_frame_z,ee_frame_qw,ee_frame_qx,ee_frame_qy,ee_frame_qz,contact_left_finger_fx_N,contact_left_finger_fy_N,contact_left_finger_fz_N,contact_left_finger_force_N,contact_right_finger_fx_N,contact_right_finger_fy_N,contact_right_finger_fz_N,contact_right_finger_force_N,contact_pin_tip_fx_N,contact_pin_tip_fy_N,contact_pin_tip_fz_N,contact_pin_tip_force_N,gripper_left_pos_rad,gripper_left_vel_rad_s,gripper_right_pos_rad,gripper_right_vel_rad_s
20800000,5078,33,0.0,0,13,0,0,-0.015,-0.015,0,0,,0.035,-0.012,0.062,1.0,0.0,0.0,0.0,0.035,-0.012,0.055,1.0,0.0,0.0,-0.0,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.035,-0.012,0.107,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045399999999999996,-0.2791666666666667,0.0446,-0.2791666666666667
20804096,5079,33,0.12,0,13,1,5,-0.01463302752293578,-0.029633027522935777,0,0,,0.03517254887964905,-0.011942388016175417,0.06305504587155963,0.9999993424375774,0.0,0.0,0.0011467887394638948,0.03511522396764917,-0.012,0.05503669724770642,0.9999998947900027,0.0,0.0,-0.0004587155802431196,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.035344619942006085,-0.011942388016175417,0.10828558955710896,0.999995847628581,0.0,0.0,0.0028817920806030023,-1.6856994037189754,0.15402329577127694,0.26357087897640513,1.713118578377793,1.5773549707996648,0.14412380443854805,0.24663046993684454,1.6030118413828143,0.0,0.0,0.0,0.0,0.04281372021271747,-0.2827469556035902,0.04204366018355257,-0.2827469556035902
20808192,5080,33,0.24,0,13,2,10,-0.01426605504587156,-0.04389908256880734,0,0,,0.035342806903275036,-0.0118849674135673,0.06411009174311927,0.999997369751174,0.0,0.0,0.002293575970757426,0.03523006517286541,-0.012,0.05507339449541285,0.9999995791600329,0.0,0.0,-0.0009174310639633093,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.03568181598964074,-0.0118849674135673,0.10957098761371593,0.9999834043425018,0.0,0.0,0.005761166512131449,-3.3772658991483016,0.30858267098816966,0.5478350162185058,3.4352978653064876,3.193707249433358,0.29181081466903774,0.518059493992378,3.2485851052352976,0.0,0.0,0.0,0.0,0.04022490172168333,-0.28608768510730864,0.03945995030461096,-0.28608768510730864
20812288,5081,33,0.36,0,13,3,15,-0.013899082568807338,-0.05779816513761468,0,0,,0.03550851362954856,-0.011827928937642965,0.0651651376146789,0.9999940819433846,0.0,0.0,0.0034403601857122133,0.035344142124714074,-0.012,0.05511009174311927,0.999999053110157,0.0,0.0,-0.0013761463546376593,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.036004347786490074,-0.011827928937642965,0.11085600282838833,0.999962711579903,0.0,0.0,0.008635707832466241,-5.0532068656363744,0.46171433290078556,0.8468318029556037,5.14443425991796,4.8548853831699175,0.4435935883099418,0.813596484666146,4.942532407093323,0.0,0.0,0.0,0.0,0.03765437702098671,-0.2889653248202162,0.03685586748859452,-0.2889653248202162
20816384,5082,33,0.48,0,13,4,20,-0.013532110091743118,-0.0713302752293578,0,0,,0.03566746904272499,-0.011771462064483311,0.06622018348623854,0.9999894790185327,0.0,0.0,0.004587139876163843,0.03545707587103338,-0.012,0.05514678899082569,0.9999983166404858,0.0,0.0,-0.0018348613557433008,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.036305337080444644,-0.011771462064483311,0.11214044417770014,0.9999338382498687,0.0,0.0,0.011503004950243015,-6.693502861051275,0.6115890939031622,1.1529593755312242,6.819555490815237,6.5579100053147075,0.5991998989627652,1.1296034350734687,6.681409138591462,0.0,0.0,0.0,0.0,0.035117004944085595,-0.29118733002015834,0.03425035937224191,-0.29118733002015834
20820480,5083,33,0.6,0,13,5,25,-0.013165137614678898,-0.0844954128440367,0,0,,0.035817562761291485,-0.011715754371362335,0.06727522935779817,0.9999835609826719,0.0,0.0,0.005733913533953853,0.035568491257275334,-0.012,0.05518348623853211,0.999997369751174,0.0,0.0,-0.002293575970757426,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.036578436488448086,-0.011715754371362335,0.11342412111490517,0.9998968805012621,0.0,0.0,0.01436065332235176,-8.28302217716353,0.7568243613651957,1.4580245121276998,8.444351661276546,8.291212238152523,0.7575726918108904,1.4594661730845777,8.45270124113268,0.0,0.0,0.0,0.0,0.03261449841668644,-0.2926050249115067,0.031667323896445235,-0.2926050249115067
20824576,5084,33,0.72,0,13,6,30,-0.012798165137614679,-0.09729357798165138,0,0,,0.03595680205657948,-0.011660990913634296,0.06833027522935779,0.9999763278435851,0.0,0.0,0.006880679650931714,0.03567801817273141,-0.012,0.055220183486238535,0.9999962124424212,0.0,0.0,-0.0027522901031573075,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.03681798390876993,-0.011660990913634296,0.11470684372821408,0.9998519614002119,0.0,0.0,0.01720625712201865,-9.814300040419047,0.8967380747591006,1.7543584805118133,10.01011479136157,10.036133831437208,0.9170071521110138,1.7940124538908644,10.23637460648333,0.0,0.0,0.0,0.0,0.030132875287936393,-0.2931235506181726,0.02912610231093378,-0.2931235506181726
20828672,5085,33,0.84,0,13,7,35,-0.012431192660550459,-0.10972477064220183,0,0,,0.0360833383093519,-0.011607353609998431,0.06938532110091743,0.9999677796107849,0.0,0.0,0.008027436718956811,0.03578529278000314,-0.012,0.055256880733944955,0.9999948447144708,0.0,0.0,-0.00321100365642032,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.03701913843837245,-0.011607353609998431,0.11598842289854415,0.999799230517365,0.0,0.0,0.020037431394389824,-11.289292689339032,1.031508976690876,2.0357844697944802,11.517662896699745,11.769516933529859,1.075387334028109,2.122382725792015,12.007601559078088,0.0,0.0,0.0,0.0,0.0276457553161267,-0.29270821225195565,0.026632814139675488,-0.29270821225195565
20832768,5086,33,0.96,0,13,8,40,-0.012064220183486237,-0.12178899082568807,0,0,,0.03619549155311234,-0.01155502063818334,0.07044036697247706,0.999957916295513,0.0,0.0,0.009174183229900436,0.03588995872363332,-0.012,0.055293577981651375,0.9999932665676105,0.0,0.0,-0.003669716534023961,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.03717799417880293,-0.01155502063818334,0.11726867045661057,0.9997388634263253,0.0,0.0,0.02285180419658662,-12.719847441466904,1.1622195631797172,2.2982500333051696,12.97795155110455,13.46705392471897,1.2304922367763527,2.4332569453709216,13.74031993507616,0.0,0.0,0.0,0.0,0.02512273635211606,-0.29138680036980596,0.02417575528443287,-0.29138680036980596
20836864,5087,33,1.08,0,13,9,45,-0.011697247706422017,-0.13348623853211009,0,0,,0.03629177277828568,-0.011504165843058486,0.0714954128440367,0.9999467379107412,0.0,0.0,0.01032091767564776,0.035991668313883035,-0.012,0.0553302752293578,0.9999914780021723,0.0,0.0,-0.004128428639445868,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.03729166894197565,-0.011504165843058486,0.1185473993392287,0.9996710611150118,0.0,0.0,0.025647018719263958,-14.126788609691046,1.2907725633220244,2.540014051547632,14.411242889327102,15.10697087883808,1.3803323645638854,2.7162520349632953,15.411161918822556,0.0,0.0,0.0,0.0,0.02254026806751373,-0.2892477314898024,0.021726857573202373,-0.2892477314898024
