global_step,callback_call,rollout,wall_time_s,env_id,episode,sample_index,episode_step,reward,episode_return,terminal,timeout,termination_reason,pin_x,pin_y,pin_z,pin_qw,pin_qx,pin_qy,pin_qz,pipe_x,pipe_y,pipe_z,pipe_qw,pipe_qx,pipe_qy,pipe_qz,center_x,center_y,center_z,center_qw,center_qx,center_qy,center_qz,ee_frame_x,ee_frame_y,ee_frame_z,ee_frame_qw,ee_frame_qx,ee_frame_qy,ee_frame_qz
20000000,4882,32,0.0,0,12,0,0,-0.015,-0.015,0,0,,0.035,-0.012,0.062,1.0,0.0,0.0,0.0,0.035,-0.012,0.055,1.0,0.0,0.0,-0.0,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.035,-0.012,0.107,1.0,0.0,0.0,0.0
20004096,4883,32,0.12,0,12,1,5,-0.014776536312849161,-0.029776536312849163,0,0,,0.03510521830411281,-0.011964905613901476,0.06264245810055866,0.9999997561717898,0.0,0.0,0.0006983239655893356,0.03507018877219705,-0.012,0.055022346368715086,0.999999960987485,0.0,0.0,-0.00027932960530609733,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.03521032857118771,-0.011964905613901476,0.10778285726800871,0.9999984600061593,0.0,0.0,0.00175498869223457
20008192,4884,32,0.24,0,12,2,10,-0.014553072625698323,-0.04432960893854748,0,0,,0.03520991825406535,-0.011929854463924796,0.06328491620111731,0.9999990246872782,0.0,0.0,0.001396647590636506,0.03514029107215041,-0.012,0.055044692737430165,0.9999998439499432,0.0,0.0,-0.0005586591888174938,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.03541897428696558,-0.011929854463924796,0.1085656712899055,0.9999938419266422,0.0,0.0,0.0035094314060560494
20012288,4885,32,0.36,0,12,3,15,-0.014329608938547485,-0.058659217877094966,0,0,,0.035313584049350345,-0.011894889732925107,0.06392737430167597,0.9999978055468217,0.0,0.0,0.0020949705345995116,0.03521022053414979,-0.012,0.05506703910614525,0.9999996488873836,0.0,0.0,-0.0008379887287394903,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.03562426974691553,-0.011894889732925107,0.10934839883289925,0.9999861514650972,0.0,0.0,0.0052627823462148
20016384,4886,32,0.48,0,12,4,20,-0.014106145251396647,-0.0727653631284916,0,0,,0.03541570498418598,-0.011860054497289768,0.06456983240223464,0.9999960987510151,0.0,0.0,0.0027932924569366857,0.03527989100542047,-0.012,0.055089385474860336,0.9999993757998215,0.0,0.0,-0.0011173182032773914,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.03582457830509036,-0.011860054497289768,0.11013099669083627,0.9999753981197197,0.0,0.0,0.007014496083689993
20020480,4887,32,0.6,0,12,5,25,-0.013882681564245809,-0.08664804469273742,0,0,,0.03551577796348944,-0.01182539167386845,0.0652122905027933,0.9999939043006906,0.0,0.0,0.003491613017106859,0.03534921665226311,-0.012,0.05511173184357542,0.9999990246872782,0.0,0.0,-0.001396647590636506,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.03601830906011341,-0.01182539167386845,0.11091342169750877,0.9999615951714335,0.0,0.0,0.008764027738558939
20024576,4888,32,0.72,0,12,6,30,-0.01365921787709497,-0.10030726256983238,0,0,,0.03561330998135657,-0.011790943967099772,0.06585474860335196,0.9999912221969183,0.0,0.0,0.004189931874569527,0.035418112065800464,-0.012,0.0551340782122905,0.999998595549781,0.0,0.0,-0.0016759768690221505,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.03620393138530484,-0.011790943967099772,0.1116956307399511,0.9999447596673671,0.0,0.0,0.010510833162572703
20028672,4889,32,0.84,0,12,7,35,-0.013435754189944133,-0.11374301675977652,0,0,,0.03570782054983761,-0.011756753816399623,0.06649720670391061,0.9999880524410062,0.0,0.0,0.004888248688785016,0.03548649236720076,-0.012,0.055156424581005586,0.9999980883873635,0.0,0.0,-0.00195530601663965,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.03637998885310587,-0.011756753816399623,0.11247758077171945,0.9999249123996451,0.0,0.0,0.01225436912134085
20032768,4890,32,0.96,0,12,8,40,-0.013212290502793295,-0.12695530726256982,0,0,,0.03579884406604366,-0.011722863343876015,0.06713966480446927,0.9999843950345001,0.0,0.0,0.005586563119214648,0.035554273312247975,-0.012,0.05517877094972067,0.9999975032000652,0.0,0.0,-0.002234635011694339,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.03654511241447721,-0.011722863343876015,0.11325922882615112,0.9999020778795212,0.0,0.0,0.013994093476028615
20036864,4891,32,1.08,0,12,9,45,-0.012988826815642458,-0.13994413407821227,0,0,,0.03588593210592241,-0.011689314302434814,0.06778212290502793,0.9999802499791833,0.0,0.0,0.006284874825320906,0.03562137139513038,-0.012,0.05520111731843576,0.9999968399879319,0.0,0.0,-0.0025139638323915642,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.03669803270182231,-0.011689314302434814,0.1140405320295993,0.9998762843068876,0.0,0.0,0.015729465364470663
20040960,4892,32,1.2,0,12,10,50,-0.01276536312849162,-0.15270949720670388,0,0,,0.035968655633403,-0.011656148024340379,0.0684245810055866,0.9999756172770775,0.0,0.0,0.006983183466567604,0.03568770395131925,-0.012,0.05522346368715084,0.9999960987510151,0.0,0.0,-0.0027932924569366857,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.0368375913332455,-0.011656148024340379,0.114821447614639,0.9998475635351978,0.0,0.0,0.01745994538160635
20045056,4893,32,1.3199999999999998,0,12,11,55,-0.012541899441340782,-0.16525139664804467,0,0,,0.03604660711402662,-0.011623405370294382,0.06906703910614526,0.9999704969304417,0.0,0.0,0.00768148870242005,0.03575318925941124,-0.012,0.05524581005586592,0.9999952794893728,0.0,0.0,-0.0030726208635350805,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.03696275110649813,-0.011623405370294382,0.11560193293324048,0.9998159510318495,0.0,0.0,0.019184995759142474
20049152,4894,32,1.44,0,12,12,60,-0.012318435754189944,-0.17756983240223462,0,0,,0.03611940252265033,-0.011591126679095625,0.06970949720670391,0.9999648889417729,0.0,0.0,0.008379790192345214,0.03581774664180875,-0.012,0.05526815642458101,0.999994382203069,0.0,0.0,-0.0033519490303921397,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.03707260498267954,-0.011591126679095625,0.11638194546990574,0.9997814858340773,0.0,0.0,0.02090408054435066
20053248,4895,32,1.56,0,12,13,65,-0.012094972067039106,-0.18966480446927372,0,0,,0.036186683235332896,-0.011559351717942824,0.07035195530726257,0.9999587933138059,0.0,0.0,0.009078087595811888,0.03588129656411435,-0.012,0.05529050279329609,0.9999934068921735,0.0,0.0,-0.0036312769357132765,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.03716638377251576,-0.011559351717942824,0.11716144285476436,0.9997442105004112,0.0,0.0,0.022616665777907673
